T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
208,Denmark,2020,Current health expenditure (% of GDP),10.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
208,Denmark,2021,Current health expenditure (% of GDP),10.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
208,Denmark,2005,Domestic general government health expenditure (% of total government expenditure),14.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
208,Denmark,2010,Domestic general government health expenditure (% of total government expenditure),15.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
208,Denmark,2015,Domestic general government health expenditure (% of total government expenditure),16.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
208,Denmark,2019,Domestic general government health expenditure (% of total government expenditure),17.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
208,Denmark,2020,Domestic general government health expenditure (% of total government expenditure),16.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
208,Denmark,2021,Domestic general government health expenditure (% of total government expenditure),18.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2005,Current health expenditure (% of GDP),3.8,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2010,Current health expenditure (% of GDP),3.4,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2015,Current health expenditure (% of GDP),3.3,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2019,Current health expenditure (% of GDP),2.2,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2020,Current health expenditure (% of GDP),2.2,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2021,Current health expenditure (% of GDP),2.9,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2005,Domestic general government health expenditure (% of total government expenditure),5.3,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2010,Domestic general government health expenditure (% of total government expenditure),7.0,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2015,Domestic general government health expenditure (% of total government expenditure),4.1,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2019,Domestic general government health expenditure (% of total government expenditure),4.3,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2020,Domestic general government health expenditure (% of total government expenditure),4.3,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
262,Djibouti,2021,Domestic general government health expenditure (% of total government expenditure),4.2,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2005,Current health expenditure (% of GDP),5.0,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2010,Current health expenditure (% of GDP),5.2,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2015,Current health expenditure (% of GDP),5.2,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2019,Current health expenditure (% of GDP),5.2,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2020,Current health expenditure (% of GDP),6.0,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2021,Current health expenditure (% of GDP),6.5,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2005,Domestic general government health expenditure (% of total government expenditure),8.7,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2010,Domestic general government health expenditure (% of total government expenditure),7.4,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2015,Domestic general government health expenditure (% of total government expenditure),9.7,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2019,Domestic general government health expenditure (% of total government expenditure),7.6,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2020,Domestic general government health expenditure (% of total government expenditure),5.4,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
212,Dominica,2021,Domestic general government health expenditure (% of total government expenditure),7.2,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2005,Current health expenditure (% of GDP),4.4,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2010,Current health expenditure (% of GDP),4.9,Provisional data.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2015,Current health expenditure (% of GDP),4.7,Provisional data.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2019,Current health expenditure (% of GDP),4.2,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2020,Current health expenditure (% of GDP),4.9,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2021,Current health expenditure (% of GDP),4.9,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2005,Domestic general government health expenditure (% of total government expenditure),9.2,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2010,Domestic general government health expenditure (% of total government expenditure),15.9,Provisional data.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2015,Domestic general government health expenditure (% of total government expenditure),14.2,Provisional data.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2019,Domestic general government health expenditure (% of total government expenditure),15.6,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2020,Domestic general government health expenditure (% of total government expenditure),14.7,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
214,Dominican Republic,2021,Domestic general government health expenditure (% of total government expenditure),17.7,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2005,Current health expenditure (% of GDP),5.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2010,Current health expenditure (% of GDP),6.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2015,Current health expenditure (% of GDP),7.6,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2019,Current health expenditure (% of GDP),7.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2020,Current health expenditure (% of GDP),8.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2021,Current health expenditure (% of GDP),8.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2005,Domestic general government health expenditure (% of total government expenditure),7.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2010,Domestic general government health expenditure (% of total government expenditure),8.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2015,Domestic general government health expenditure (% of total government expenditure),10.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2019,Domestic general government health expenditure (% of total government expenditure),13.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2020,Domestic general government health expenditure (% of total government expenditure),13.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
218,Ecuador,2021,Domestic general government health expenditure (% of total government expenditure),14.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2005,Current health expenditure (% of GDP),4.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2010,Current health expenditure (% of GDP),4.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2015,Current health expenditure (% of GDP),5.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2019,Current health expenditure (% of GDP),4.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2020,Current health expenditure (% of GDP),4.2,Provisional data.;Break in the time series.;Data refer to fiscal years beginning 1 July.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2021,Current health expenditure (% of GDP),4.6,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2005,Domestic general government health expenditure (% of total government expenditure),5.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2010,Domestic general government health expenditure (% of total government expenditure),4.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2015,Domestic general government health expenditure (% of total government expenditure),5.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2019,Domestic general government health expenditure (% of total government expenditure),4.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2020,Domestic general government health expenditure (% of total government expenditure),5.2,Provisional data.;Break in the time series.;Data refer to fiscal years beginning 1 July.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
818,Egypt,2021,Domestic general government health expenditure (% of total government expenditure),6.8,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2005,Current health expenditure (% of GDP),9.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2010,Current health expenditure (% of GDP),8.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2015,Current health expenditure (% of GDP),8.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2019,Current health expenditure (% of GDP),8.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2020,Current health expenditure (% of GDP),9.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2021,Current health expenditure (% of GDP),9.7,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2005,Domestic general government health expenditure (% of total government expenditure),18.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2010,Domestic general government health expenditure (% of total government expenditure),17.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2015,Domestic general government health expenditure (% of total government expenditure),17.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2019,Domestic general government health expenditure (% of total government expenditure),17.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2020,Domestic general government health expenditure (% of total government expenditure),17.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
222,El Salvador,2021,Domestic general government health expenditure (% of total government expenditure),20.0,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2005,Current health expenditure (% of GDP),1.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2010,Current health expenditure (% of GDP),1.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2015,Current health expenditure (% of GDP),2.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2019,Current health expenditure (% of GDP),3.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2020,Current health expenditure (% of GDP),3.9,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2021,Current health expenditure (% of GDP),3.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2005,Domestic general government health expenditure (% of total government expenditure),1.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2010,Domestic general government health expenditure (% of total government expenditure),1.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2015,Domestic general government health expenditure (% of total government expenditure),1.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2019,Domestic general government health expenditure (% of total government expenditure),3.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2020,Domestic general government health expenditure (% of total government expenditure),5.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
226,Equatorial Guinea,2021,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2005,Current health expenditure (% of GDP),6.9,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2010,Current health expenditure (% of GDP),4.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2015,Current health expenditure (% of GDP),4.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2019,Current health expenditure (% of GDP),4.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2020,Current health expenditure (% of GDP),4.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2021,Current health expenditure (% of GDP),4.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2005,Domestic general government health expenditure (% of total government expenditure),1.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2010,Domestic general government health expenditure (% of total government expenditure),2.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2015,Domestic general government health expenditure (% of total government expenditure),2.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2019,Domestic general government health expenditure (% of total government expenditure),2.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2020,Domestic general government health expenditure (% of total government expenditure),2.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
232,Eritrea,2021,Domestic general government health expenditure (% of total government expenditure),2.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2005,Current health expenditure (% of GDP),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2010,Current health expenditure (% of GDP),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2015,Current health expenditure (% of GDP),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2019,Current health expenditure (% of GDP),6.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2020,Current health expenditure (% of GDP),7.6,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2021,Current health expenditure (% of GDP),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2005,Domestic general government health expenditure (% of total government expenditure),11.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2010,Domestic general government health expenditure (% of total government expenditure),12.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2015,Domestic general government health expenditure (% of total government expenditure),12.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2019,Domestic general government health expenditure (% of total government expenditure),12.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2020,Domestic general government health expenditure (% of total government expenditure),13.0,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
233,Estonia,2021,Domestic general government health expenditure (% of total government expenditure),13.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2005,Current health expenditure (% of GDP),7.4,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2010,Current health expenditure (% of GDP),8.6,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2015,Current health expenditure (% of GDP),7.1,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2019,Current health expenditure (% of GDP),7.2,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2020,Current health expenditure (% of GDP),6.6,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2021,Current health expenditure (% of GDP),7.0,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2005,Domestic general government health expenditure (% of total government expenditure),12.6,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2010,Domestic general government health expenditure (% of total government expenditure),13.8,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2015,Domestic general government health expenditure (% of total government expenditure),8.6,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2019,Domestic general government health expenditure (% of total government expenditure),11.2,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2020,Domestic general government health expenditure (% of total government expenditure),10.4,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
748,Eswatini,2021,Domestic general government health expenditure (% of total government expenditure),12.3,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2005,Current health expenditure (% of GDP),4.1,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2010,Current health expenditure (% of GDP),5.5,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2015,Current health expenditure (% of GDP),3.8,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2019,Current health expenditure (% of GDP),3.2,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2020,Current health expenditure (% of GDP),3.5,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2021,Current health expenditure (% of GDP),3.2,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2005,Domestic general government health expenditure (% of total government expenditure),7.6,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2010,Domestic general government health expenditure (% of total government expenditure),5.1,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2015,Domestic general government health expenditure (% of total government expenditure),5.6,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2019,Domestic general government health expenditure (% of total government expenditure),4.8,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
